spicy,category_id,category_name,vegetarian option,name,price,price per glass,price per bottle,lunch option,lunch,count,description
,appetizer,Appetizer,,Pot Sticker,$8.50 ,,,,,6,Hand rolled Chinese pastry stuffed with a ginger-infused mixture of ground pork and Napa cabbage lightly pan-fried to a golden brown.
,appetizer,Appetizer,TRUE,Steamed Vegetarian Pot Stickers,$8.50 ,,,,,6,"A seasoned mixture of minced Shiitake mushrooms, Napa cabbage, tofu, and mung bean thread wrapped in a hand rolled thin Chinese pastry steamed and served in a bamboo basket."
,appetizer,Appetizer,,Spring Rolls,$8.50 ,,,,,4,"A light mixture of fresh shredded cabbage, celery, onions, and garlic encased in a thin crepe, deep-fried to a golden brown and served with Xiao Loong's sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,,Xiao Loong Bow,$9.95 ,,,,,8,"Hand rolled thin Chinese pastry, generously stuffed with ginger marinated ground pork, then steamed 'til plump and juicy."
,appetizer,Appetizer,,Prawns and Chinese Chive Dumplings,$9.95 ,,,,,10,"Delicate Chinese hand rolled pastry filled with a mixture of rough chopped prawns, Chinese chives, and ginger.Cooked quickly in boiling hot water to seal in the juices."
,appetizer,Appetizer,,Xiao Loong's Pan-Pacific Wonton,$8.95 ,,,,,8,"A flavorful mixture of crabmeat, cream cheese, and green onions encased in a thin Chinese pastry, deep-fried to a golden brown and served with Xiao Loong's sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,,House Wonton,$8.95 ,,,,,10,"An aromatic mixture of ground pork and Chinese spices wrapped in a delicate Chinese pastry, deep-fried to a crispy golden brown and served with Xiao Loong's sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,,Chinese-Style Fried Calamari,$8.95 ,,,,,,"Tender chunks of calamari, lightly fried in a thin flour coating, served with Xiao Loong's sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,,"Mu Shu (pork, beef, chicken, or vegetable)",$10.95 ,,,,,,"A combination of thinly sliced cabbage, willow tree fungus, fluffed eggs, and your choice of shredded pork, sliced beef, diced chicken, or vegetables, sauteed in our house soy sauce accompanied by four house made hand-rolled pancakes, julienned scallions, and hoison sauce. Additional pancakes $0.75 each"
,appetizer,Appetizer,,Mu Shu (prawns or lamb),$11.95 ,,,,,,"A combination of thinly sliced cabbage, willow tree fungus, fluffed eggs, and your choice of shredded pork, sliced beef, diced chicken, or vegetables, sauteed in our house soy sauce accompanied by four house made hand-rolled pancakes, julienned scallions, and hoison sauce. Additional pancakes $0.75 each"
yes,soup,Soup,TRUE,Hot and Sour Soup,$8/$11/$13,,,,,,"A Northern Chinese mixture of shredded chicken, shrimp, julieened shiitake mushrooms, tofu, peas, and willow tree fungus in a peppery and flavorful chicken broth finished with whipped eggs."
,soup,Soup,TRUE,Wonton Soup,$8/$11/$14,,,,,,Our house pork wontons served in a rich chicken broth with spinach and sliced shiitake mushrooms.
,soup,Soup,TRUE,Sizzling Rice Soup,$8/$11/$15,,,,,,"A fresh mÌ©lange of shredded chicken, shrimp, water chestnuts, sliced shiitake mushrooms, peas, and spinach in a light chicken broth topped with sizzling rice served tableside."
,soup,Soup,TRUE,Xiao Loong in the Garden,$8/$11/$16,,,,,,"A mixture of shrimp, sliced shiitake mushrooms, spinach, and tomatoes, in a rich chicken broth finished with whipped eggs"
,soup,Soup,TRUE,Chicken and Shiitake Mushroom Soup,$8/$11/$17,,,,,,"Sliced tender chicken breast with whole shiitake mushrooms, crisp Napa cabbage in a light, clear chicken broth."
,soup,Soup,TRUE,Nori Seaweed Soup,$8/$11/$18,,,,,,"A mixture of spinach, shrimp, sliced shiitake mushrooms, and nori seaweed in a rich chicken broth finished with whipped eggs."
yes,seafood,Seafood,,Xiao Loong's Spicy Chili Prawns,$11.95 ,,,TRUE,$7.50 ,,"Prawns stir-fried with chopped garlic, minced ginger, and our house chili sauce; a delightfully spicy and aromatic dish that must be tried."
yes,seafood,Seafood,,Kung Pao Prawns,$11.95 ,,,TRUE,$7.50 ,,"Tender prawns sauteed with roasted red hot peppers, green onion bulbs, bell peppers, white onions, and fresh roasted peanuts tossed in a spicy Kung Pao sauce."
yes,seafood,Seafood,,Sichuan Dry Fried Prawns,$11.95 ,,,,,,Light fluffy deep-fried prawns flash-fried and tossed with chili pods and a spicy garlic and ginger sauce.
,seafood,Seafood,,Lobster Sauce Prawns,$11.95 ,,,TRUE,$7.50 ,,"Tender prawns braised with fresh garlic, green peas, and finished with whipped eggs in a wine and lobster-infused sauce."
,seafood,Seafood,,Snow Peas and Prawns,$12.95 ,,,,,,Fresh snow peas stir-fried quickly with tender prawns in a garlic wine sauce.
,seafood,Seafood,,White Prawns,$11.95 ,,,,,,"Tender prawns sauteed in a light garlic-infused wine sauce served atop blanched broccoli, a simple prawn dish that accentuates the essence of prawns."
,seafood,Seafood,,Clay Pot Prawns and Tofu,$11.95 ,,,TRUE,$7.50 ,,"Prawns and diced tofu simmered in white wine, garlic, peas, and mushrooms; served in a sizzling hot clay pot."
,seafood,Seafood,,Three Ingredients,$12.95 ,,,,,,"Tender prawns, whole scallops, and calamari with fresh snow peas sauteed in a light garlic wine sauce."
